,name,id
235,conorsen,70778344
236,CormacLeech,92965114
237,coryjwatson,235229700
238,CoryLCowan,512542076
239,costareports,86129724
240,courtney_ft,35166101
241,Coyoteblog,361022362
242,CramersShirt,790309974
243,crampell,14348157
244,CrowleyKev,344653120
245,csidetrader,468530937
246,cspan,15675138
247,csresearch,68304632
248,CT_Bergstrom,3238448948
249,CT_Osprey,3077863571
250,cullenroche,22088714
251,CVecchioFX,104667619
252,DailyFXTeam,28366310
253,DailyFXTeamRT,372968577
254,DaliaHatuqa,755740434
255,DamonPavlatos,23699022
256,DanCancel,321372791
257,dandolfa,1342956066
258,DanGreenhaus,245109227
259,DanielAlpert,322602539
260,DanielBShapiro,820431635145510912
261,DannyNis,335885581
262,danwlin,144408677
263,daraobriain,44874400
264,darioperkins,52458836
265,DarrenFLA,29170105
266,darth,1337271
267,dashofinsight,14290226
268,davebudge,30117375
269,DaveL452,237811212
270,davemgoldman,1583343733
271,David_Gergen,243291022
272,DavidAFrench,240107748
273,DavidBCollum,419084104
274,DavidColeACLU,460164882
275,davidein,52849759
276,davidfrum,18686907
277,davidgaffen,158070493
278,DavidJSong,23557976
279,DavidKeo,88953269
280,DavidMDrucker,104299137
281,DavidSchawel,182642157
282,DavidTaggart,23291900
283,DavidTweed,398882157
284,Dburgh,277593602
285,ddale8,225265639
286,DecisionDeskHQ,918169628
287,DEFCONWSALERTS,350379608
288,deltaStrikejj,63061242
289,deuxetvingt,2821594916
290,DHSgov,15647676
291,DigStic,2420580992
292,discoverytrader,242749897
293,DKThomp,37723353
294,DLeonhardt,168295477
295,Dmoneydtx,44498216
296,dmwlsw,32736252
297,donaldT44,122700672
298,donnaborak,33964434
299,DorganG,142010224
300,DougKass,19988458
301,DouglasCarswell,25097735
302,dougtee,195157522
303,downtowntrader,14165212
304,dowwhiz,23669783
305,DR__Shine,46677599
306,DrEricDing,18831926
307,DRodriguezFX,23116322
308,DrTomFrieden,820452522494226433
309,DRWTrading,61285896
310,dsamuelsohn,15993122
311,dsquareddigest,211106542
312,DukeStJournal,16031631
313,DuncanWeldon,70960617
314,Dutch_Book,195251679
315,dvandeventer,19619569
316,dyjh,11790752
317,ecb,83466368
318,EconBrothers,392685768
319,econhedge,588081305
320,economistmeg,241709263
321,EdConwaySky,7847192
322,EddyElfenbein,41516710
323,edwardnh,16400258
324,eFXdata,283788648
325,EGHaug,2881239162
326,EIAgov,57111966
327,ejenk,14608335
328,EKourtali,408422581
329,Elbarbie,69002929
330,EleniGiokos,68326950
331,elerianm,332617373
332,EliotACohen,3244305970
333,eliquinox,2842295350
334,Elizrael,18014005
335,elonmusk,44196397
336,EmanuelDerman,289485255
337,Emergingtrends,764591058
338,EMinflationista,3181786958
339,EminiMind,99005969
340,eminiplayer,21277169
341,eminiwizard,30132097
342,EmporersNewC,2535399896
343,endacurran,283807534
344,EnergyBasis,3000907007
345,enlundm,1037972209
346,EpicureanDeal,176644153
347,EpsilonTheory,1615557272
348,eradke,21664245
349,EricBalchunas,149571760
350,ericbeebo,117899448
351,ericgeller,3817401
352,ericjackson,818071
353,ErikFossing,1969523497
354,EU_Commission,157981564
355,eucopresident,196994616
356,EUCouncilPress,198618575
357,EurasiaNet,21425858
358,EuropeElects,319677725
359,event_trader,197125250
360,eWhispers,136136326
361,ExumAM,19190572
362,ezraklein,18622869
363,FadeTrader,165412746
364,Fahrenthold,61734492
365,faisalislam,22812734
366,faithmight,17108251
367,farnazfassihi,3048160253
368,FatF1nger,2337281922
369,fbonacci,20704612
370,fed_speak,255784790
371,federalreserve,26538229
372,FedResearch,1161370756208648193
373,Fedwatcher,90727158
374,felixsalmon,16399949
375,FerroTV,1015241814
376,FGoria,6361512
377,FHeisbourg,483930658
378,fiatcurrency,63209866
379,financequant,61555249
380,FinancialTimes,4898091
381,fiquant,175323805
382,firoozye,31137628
383,firstadopter,16598957
384,FirstSquawk,3295423333
385,Fmirw,815294671
386,FootnotesFirst,90546527
387,forexanalytix,3107927636
388,ForexLive,19399038
389,Foudroyant,20588734
390,FoxBusiness,56413858
391,FoxNewsResearch,36397873
392,Francesc_Forex,25488729
393,fredwilson,1000591
394,FreeBeacon,455764741
395,FreefallCapital,4814321693
396,freezerohedge,410318537
397,frostyhk,407345942
398,ftalpha,211194146
399,FTAlphaville,14465640
400,ftchina,15861355
401,fteconomics,59736898
402,FTTradingRoom,73112681
403,Fullcarry,20209445
404,fundstrat,2648357839
405,FuturesTradeMag,55020919
406,FuturesTrader71,39294671
407,fwred,36777600
408,FX_Button,300045948
409,FXDIRK,29708582
410,fxmacro,249768777
411,FZucchi,17583317
412,GabrielSterne,421097800
413,Gann360,81000114
414,gareth_gore,366513155
415,Gary_D_Cohn,1208142326939504641
416,gatnash,340956453
417,GauravSaroliya,1146710596580257793
418,GavinSBaker,340387261
419,gavyndavies,171969696
420,GenDaveGoldfein,742430098545102848
421,GeneralTheorist,3361079735
422,Generate_Alpha,457824344
423,georgemagnus1,2220183580
424,georgesoros,23125257
425,GeorgeStoykov,201847268
426,GEsfandiari,29016548
427,ggreenwald,16076032
428,ghazalairshad,25529018
429,gksteinhauser,250038860
430,GlobalMacroZen,78966655
431,globaltimesnews,49616273
432,Goldfarb,7381772
433,GoldmanSachs,253167239
434,GoodrichWatts,620885934
435,govttrader,553721053
436,Gr8WklyOptions,424481268
437,Grainmonster,138797212
438,GrantLewis1,348418984
439,GreekAnalyst,2977900810
440,Greenbackd,20119344
441,GreenhavenRoad,2704894706
442,greg_ip,234409558
443,gregmikeFX,28122828
444,gregorymckenna,252437614
445,GregStohr,342226913
446,grodaeu,1101561128
447,grynbaum,19570075
448,GS_CapSF,2699557074
449,gtconway3d,471677441
450,guan,6631
451,gusbaratta,27869848
452,haaretzcom,24506246
453,hahellyer,250603308
454,HamzeiAnalytics,31001654
455,HankTester,22934596
456,HanseaticTrade,404417545
457,HansNichols,17908972
458,hap317,34915359
459,HaraldDoornbos,244571847
460,harfangcap,869323788
461,harmongreg,24227424
462,HassanRouhani,1404590618
463,hdagres,30181014
464,HeathMayo,163987185
465,HedgeDirty,1253117263617691654
466,hedgefundinvest,20888115
467,hendry_hugh,1245074816677416960
468,herbgreenberg,14276189
469,HFBondsTrader,1222617536
470,HFMajorTom,93913891
471,HFTAlert,455366870
472,HirokoTabuchi,8442372
473,hmeisler,38476367
474,HoracioCoutino,29569928
475,HotlantaCapital,1601715554
476,HouseFloor,7402662
477,howardlindzon,7517052
478,Hubon,98439400
479,HuXijin_GT,2775998016
480,i24NEWS_EN,1322420269
481,ianbremmer,60783724
482,IanShepherdson,330251596
483,IanTalley,85423396
484,ibnezra,20682530
485,ICRC,85289376
486,IEABirol,3458195901
487,IHSMarkitPMI,338875694
488,ilangoldenberg,228136993
489,iliassiak,17972627
490,IlyaSpivak,22973153
491,IndianaGrainCo,45846574
492,InEgoVeritas,20825522
493,InfinitusCap,1359600942
494,inflation_guy,57333256
495,infotranecon,284213310
496,insidermonkey,194137231
497,InterestArb,632317734
498,interfluidity,38385999
499,Interpreter_Mag,1265727487
500,iowahawkblog,149913262
501,IrvingSwisher,713526017596526593
502,iuubob,21152643
503,iv_technicals,97903354
504,IvanTheK,197869772
505,IvoHDaalder,251553556
506,iyad_elbaghdadi,18725815
507,IyerC,968433792
508,izakaminska,22396478
509,ja_herron,308369887
510,JackDamn,58808528
511,jackschwager,541253226
512,jake_f,17136742
513,JakeSherman,21252618
514,James_v_S,6256592
515,jamescdownie,46667731
516,JamieSaettele,22973525
517,jaredwoodard,16451485
518,JassimAlseddiqi,165869693
519,JavierBlas,1647573157
520,jayho79,20588179
521,jbarro,16244449
522,jbjakobsen,574585476
523,jburnmurdoch,43878033
524,jc_econ,854671369
525,jeanienyc,139707166
526,jeannasmialek,258157507
527,jedimarkus77,317041794
528,Jediphone,16176656
529,JeffBezos,15506669
530,JeffCNYC,294588244
531,JeffCooperLive,146930159
532,JeffMacke,24410456
